Plaintext,Ciphertext,CipherType
The path was overgrown with wildflowers,Nby junb qum ipylaliqh qcnb qcfxzfiqylm,caesar
The path was overgrown with wildflowers,GYI BTGY ATC VDIRWRVAE AKGY AKOUQOVAIRC,substitution
The path was overgrown with wildflowers,srewolfdliw htiw nworgrevo saw htap ehT,transposition
The path was overgrown with wildflowers,LLG GEMZ ACJ SOWVIISPF AKKL PAPFWPHOITJ,vigenere
The path was overgrown with wildflowers,GSV KZGS DZH LEVITILDM DRGS DROWUOLDVIH,atbash
The path was overgrown with wildflowers,ZRC FIZR OIU AJCPMPAOV OWZR OWLXHLAOCPU,affine
The path was overgrown with wildflowers,VFYNRVIYCPYZKDFDKOQEFXIYLFRGSCOYCM,playfair
The path was overgrown with wildflowers,Tp  rwiwfeh ahwsoegonwt idlwretavr hlos,rail_fence
The path was overgrown with wildflowers,10011 00111 00100 01111 00000 10011 00111 10110 00000 10010 01110 10101 00100 10001 00110 10001 01110 10110 01101 10110 01000 10011 00111 10110 01000 01011 00011 00101 01011 01110 10110 00100 10001 10010,bacon
"He looked at the old map, trying to find his way","Li pssoih ex xli sph qet, xvcmrk xs jmrh lmw aec",caesar
"He looked at the old map, trying to find his way","EY ZHHLYT XK KEY HZT QXB, KMPWCA KH OWCT EWS IXP",substitution
"He looked at the old map, trying to find his way","yaw sih dnif ot gniyrt ,pam dlo eht ta dekool eH",transposition
"He looked at the old map, trying to find his way","JS OSQYHH CH WLG COH OOS, XTMLRI HR JKBG LKG ZEA",vigenere
"He looked at the old map, trying to find his way","SV OLLPVW ZG GSV LOW NZK, GIBRMT GL URMW SRH DZB",atbash
"He looked at the old map, trying to find his way","RC LAAGCX IZ ZRC ALX QIF, ZPYWVM ZA HWVX RWU OIY",affine
"He looked at the old map, trying to find his way",GYSCKEDGRVVFYKGCPRMVAKGQFUKLGQAGLQYBWV,playfair
"He looked at the old map, trying to find his way","Hod   ,y f  eloe tteodmp rigt idhswy kahlatnonia",rail_fence
"He looked at the old map, trying to find his way",00111 00100 01011 01110 01110 01010 00100 00011 00000 10011 10011 00111 00100 01110 01011 00011 01100 00000 01111 10011 10001 11000 01000 01101 00110 10011 01110 00101 01000 01101 00011 00111 01000 10010 10110 00000 11000,bacon
The evening sky was streaked with purple and pink,Max xoxgbgz ldr ptl lmkxtdxw pbma inkiex tgw ibgd,caesar
The evening sky was streaked with purple and pink,NVK KBKXUXZ PIF HYP PNJKYIKA HUNV DLJDTK YXA DUXI,substitution
The evening sky was streaked with purple and pink,knip dna elprup htiw dekaerts saw yks gnineve ehT,transposition
The evening sky was streaked with purple and pink,DLC OZCXMLQ WII AYC WRBIYUIB GMRR TSBTJO ELN TGXO,vigenere
The evening sky was streaked with purple and pink,GSV VEVMRMT HPB DZH HGIVZPVW DRGS KFIKOV ZMW KRMP,atbash
The evening sky was streaked with purple and pink,ZRC CJCVWVM UGY OIU UZPCIGCX OWZR FEPFLC IVX FWVG,affine
The evening sky was streaked with purple and pink,VFWUUYQGUNMOWOCPMZDKRYDGBQVFNVAMGODPANGQWT,playfair
The evening sky was streaked with purple and pink,Teiswsa hr  kh vnn k a tekdwt upeadpneegysreiplni,rail_fence
The evening sky was streaked with purple and pink,10011 00111 00100 00100 10101 00100 01101 01000 01101 00110 10010 01010 11000 10110 00000 10010 10010 10011 10001 00100 00000 01010 00100 00011 10110 01000 10011 00111 01111 10100 10001 01111 01011 00100 00000 01101 00011 01111 01000 01101 01010,bacon
She danced in the field under the moonlight,Ncz yvixzy di ocz adzgy piyzm ocz hjjigdbco,caesar
She danced in the field under the moonlight,VNC UBJZCU XJ MNC SXCLU RJUCK MNC HIIJLXANM,substitution
She danced in the field under the moonlight,thgilnoom eht rednu dleif eht ni decnad ehS,transposition
She danced in the field under the moonlight,KLG UEGUIF ZR MZI HZIEV YPUIK LLG DSHFPKXLM,vigenere
She danced in the field under the moonlight,HSV WZMXVW RM GSV URVOW FMWVI GSV NLLMORTSG,atbash
She danced in the field under the moonlight,URC XIVSCX WV ZRC HWCLX EVXCP ZRC QAAVLWMRZ,affine
She danced in the field under the moonlight,PLDGDPDOBGMUGYGLOGGEUGKDVFKNWZSGLHFV,playfair
She danced in the field under the moonlight,Sdeneeureogh acdi h il ne h onihen tfddtmlt,rail_fence
She danced in the field under the moonlight,10010 00111 00100 00011 00000 01101 00010 00100 00011 01000 01101 10011 00111 00100 00101 01000 00100 01011 00011 10100 01101 00011 00100 10001 10011 00111 00100 01100 01110 01110 01101 01011 01000 00110 00111 10011,bacon
The train station was bustling with people,Gur genva fgngvba jnf ohfgyvat jvgu crbcyr,caesar
The train station was bustling with people,JZN JCHTV SJHJTFV OHS KMSJETVL OTJZ GNFGEN,substitution
The train station was bustling with people,elpoep htiw gniltsub saw noitats niart ehT,transposition
The train station was bustling with people,DLC DVYSR QDERSSL GEQ LYQDPGXK USXF ZIMZPC,vigenere
The train station was bustling with people,GSV GIZRM HGZGRLM DZH YFHGORMT DRGS KVLKOV,atbash
The train station was bustling with people,ZRC ZPIWV UZIZWAV OIU NEUZLWVM OWZR FCAFLC,affine
The train station was bustling with people,VFKUDBGQMZRVLWQECPDXMZFLUNBQVFNYYSGO,playfair
The train station was bustling with people,Ttnanssniplh ri tto a utigwt epeeasiwbl ho,rail_fence
The train station was bustling with people,10011 00111 00100 10011 10001 00000 01000 01101 10010 10011 00000 10011 01000 01110 01101 10110 00000 10010 00001 10100 10010 10011 01011 01000 01101 00110 10110 01000 10011 00111 01111 00100 01110 01111 01011 00100,bacon
He smiled as he walked down the street,Ur fzvyrq nf ur jnyxrq qbja gur fgerrg,caesar
He smiled as he walked down the street,WA YXBTAS NY WA INTUAS SPID HWA YHCAAH,substitution
He smiled as he walked down the street,teerts eht nwod deklaw eh sa delims eH,transposition
He smiled as he walked down the street,RI QWMJOH YC LC GEJUIB NSUX XFO WRBICD,vigenere
He smiled as he walked down the street,SV HNROVW ZH SV DZOPVW WLDM GSV HGIVVG,atbash
He smiled as he walked down the street,RC UQWLCX IU RC OILGCX XAOV ZRC UZPCCZ,affine
He smiled as he walked down the street,GYMNLFDGCPGYYBFODGCEEQVFONKFWUUZ,playfair
He smiled as he walked down the street,Hmd weotseesie sh akddw h tet lael ner,rail_fence
He smiled as he walked down the street,00111 00100 10010 01100 01000 01011 00100 00011 00000 10010 00111 00100 10110 00000 01011 01010 00100 00011 00011 01110 10110 01101 10011 00111 00100 10010 10011 10001 00100 00100 10011,bacon
The forest was quiet except for the sound of birds,Bpm nwzmab eia ycqmb mfkmxb nwz bpm awcvl wn jqzla,caesar
The forest was quiet except for the sound of birds,LSP BQKPXL VJX COTPL PZFPNL BQK LSP XQOYM QB ETKMX,substitution
The forest was quiet except for the sound of birds,sdrib fo dnuos eht rof tpecxe teiuq saw tserof ehT,transposition
The forest was quiet except for the sound of birds,DLC PSPOWR GEQ AYGOX CHGCZX DYV RRI QYYLN SD LMPNW,vigenere
The forest was quiet except for the sound of birds,GSV ULIVHG DZH JFRVG VCXVKG ULI GSV HLFMW LU YRIWH,atbash
The forest was quiet except for the sound of birds,ZRC HAPCUZ OIU KEWCZ CTSCFZ HAP ZRC UAEVX AH NWPXU,affine
The forest was quiet except for the sound of birds,VFKGKCONXKCPNXGWUKZBYNKMKCVFONEZUGKLIQDAQZ,playfair
The forest was quiet except for the sound of birds,Tfsau eftsd dh oetwsqitecp o h on fbrser  extreuoi,rail_fence
The forest was quiet except for the sound of birds,10011 00111 00100 00101 01110 10001 00100 10010 10011 10110 00000 10010 10000 10100 01000 00100 10011 00100 10111 00010 00100 01111 10011 00101 01110 10001 10011 00111 00100 10010 01110 10100 01101 00011 01110 00101 00001 01000 10001 00011 10010,bacon
"She looked out the window, lost in thought","Ncz gjjfzy jpo ocz rdiyjr, gjno di ocjpbco",caesar
"She looked out the window, lost in thought","VCA KMMUAN MXD DCA JOFNMJ, KMVD OF DCMXQCD",substitution
"She looked out the window, lost in thought","thguoht ni tsol ,wodniw eht tuo dekool ehS",transposition
"She looked out the window, lost in thought","KLG CSHCIF FYM LLG NMGVSY, CSLL MP KLHMKJK",vigenere
"She looked out the window, lost in thought","HSV OLLPVW LFG GSV DRMWLD, OLHG RM GSLFTSG",atbash
"She looked out the window, lost in thought","URC LAAGCX AEZ ZRC OWVXAO, LAUZ WV ZRAEMRZ",affine
"She looked out the window, lost in thought",PLOGWZEYCEVUVFYOGQCEOICZXFMULYENFV,playfair
"She looked out the window, lost in thought","Sleuhiwoihhh okdottewno,ls ntogteo   d t u",rail_fence
"She looked out the window, lost in thought",10010 00111 00100 01011 01110 01110 01010 00100 00011 01110 10100 10011 10011 00111 00100 10110 01000 01101 00011 01110 10110 01011 01110 10010 10011 01000 01101 10011 00111 01110 10100 00110 00111 10011,bacon
The fog rolled in over the valley,Gur sbt ebyyrq va bire gur inyyrl,caesar
The fog rolled in over the valley,DLK WIV JIUUKS YP ICKJ DLK CBUUKM,substitution
The fog rolled in over the valley,yellav eht revo ni dellor gof ehT,transposition
The fog rolled in over the valley,LLG WSZ JSNCIW AR QMIK LLG MEEDIA,vigenere
The fog rolled in over the valley,GSV ULT ILOOVW RM LEVI GSV EZOOVB,atbash
The fog rolled in over the valley,ZRC HAM PALLCX WV AJCP ZRC JILLCY,affine
The fog rolled in over the valley,VFKGELCKIZDGGQYZKDVFYUCHGOWV,playfair
The fog rolled in over the valley,Tfrenehayh o oldi vrtevleegl o  l,rail_fence
The fog rolled in over the valley,10011 00111 00100 00101 01110 00110 10001 01110 01011 01011 00100 00011 01000 01101 01110 10101 00100 10001 10011 00111 00100 10101 00000 01011 01011 00100 11000,bacon
The fire burned brightly in the hearth,Esp qtcp mfcypo mctrsewj ty esp splces,caesar
The fire burned brightly in the hearth,NJV MYCV ZSCFVW ZCYTJNRD YF NJV JVOCNJ,substitution
The fire burned brightly in the hearth,htraeh eht ni ylthgirb denrub erif ehT,transposition
The fire burned brightly in the hearth,LLG WMKW FWIRXV FTZKALPA ZR MZI JVEKLL,vigenere
The fire burned brightly in the hearth,GSV URIV YFIMVW YIRTSGOB RM GSV SVZIGS,atbash
The fire burned brightly in the hearth,ZRC HWPC NEPVCX NPWMRZLY WV ZRC RCIPZR,affine
The fire burned brightly in the hearth,VFKGFBWDTDUDACBFHIZFWHMUGYGYBDVF,playfair
The fire burned brightly in the hearth,Tf nbh thth iebre rgtyi h erherudilnea,rail_fence
The fire burned brightly in the hearth,10011 00111 00100 00101 01000 10001 00100 00001 10100 10001 01101 00100 00011 00001 10001 01000 00110 00111 10011 01011 11000 01000 01101 10011 00111 00100 00111 00100 00000 10001 10011 00111,bacon
The flowers in the garden bloomed brightly,Bpm ntwemza qv bpm oizlmv jtwwuml jzqopbtg,caesar
The flowers in the garden bloomed brightly,LUZ OWEFZYS QI LUZ NTYPZI CWEEGZP CYQNULWB,substitution
The flowers in the garden bloomed brightly,ylthgirb demoolb nedrag eht ni srewolf ehT,transposition
The flowers in the garden bloomed brightly,VVH JNCZITG LR VVH KCFGIP POSQAHH DFLKJHOC,vigenere
The flowers in the garden bloomed brightly,GSV UOLDVIH RM GSV TZIWVM YOLLNVW YIRTSGOB,atbash
The flowers in the garden bloomed brightly,ZRC HLAOCPU WV ZRC MIPXCV NLAAQCX NPWMRZLY,affine
The flowers in the garden bloomed brightly,VFKGSCOYCMGQVFDNBDGDQDSCKSDGCDLHFVHO,playfair
The flowers in the garden bloomed brightly,Tfeihanodilh lwr ntegre loe rgtyeos  dbmbh,rail_fence
The flowers in the garden bloomed brightly,10011 00111 00100 00101 01011 01110 10110 00100 10001 10010 01000 01101 10011 00111 00100 00110 00000 10001 00011 00100 01101 00001 01011 01110 01110 01100 00100 00011 00001 10001 01000 00110 00111 10011 01011 11000,bacon
The city was bustling with life,Esp ntej hld mfdewtyr htes wtqp,caesar
The city was bustling with life,FNO TAFV CED MIDFGAKU CAFN GAYO,substitution
The city was bustling with life,efil htiw gniltsub saw ytic ehT,transposition
The city was bustling with life,DLC MMRI AYC FSCXJSRE GMRR PGPI,vigenere
The city was bustling with life,GSV XRGB DZH YFHGORMT DRGS ORUV,atbash
The city was bustling with life,ZRC SWZY OIU NEUZLWVM OWZR LWHC,affine
The city was bustling with life,VFODFXWOCPDXMZFLUNBQVFFLGK,playfair
The city was bustling with life,Tc  tgtih iywsbsln ihlfetauiw e,rail_fence
The city was bustling with life,10011 00111 00100 00010 01000 10011 11000 10110 00000 10010 00001 10100 10010 10011 01011 01000 01101 00110 10110 01000 10011 00111 01011 01000 00101 00100,bacon
"He gazed out at the horizon, lost in thought","Xu wqput ekj qj jxu xehyped, beij yd jxekwxj",caesar
"He gazed out at the horizon, lost in thought","NT IPCTX SML PL LNT NSDHCSG, FSQL HG LNSMINL",substitution
"He gazed out at the horizon, lost in thought","thguoht ni tsol ,noziroh eht ta tuo dezag eH",transposition
"He gazed out at the horizon, lost in thought","RI EKDCN SSD ER DLC RSPSDMX, PMCX GX XFYYERX",vigenere
"He gazed out at the horizon, lost in thought","SV TZAVW LFG ZG GSV SLIRALM, OLHG RM GSLFTSG",atbash
"He gazed out at the horizon, lost in thought","RC MIDCX AEZ IZ ZRC RAPWDAV, LAUZ WV ZRAEMRZ",affine
"He gazed out at the horizon, lost in thought",GYHDUOCEVURVVFYGKCLXESSCMZGQVFEZHIUZ,playfair
"He gazed out at the horizon, lost in thought","Ha  thz t uegzdota h oio,ls ntogt euternoihh",rail_fence
"He gazed out at the horizon, lost in thought",00111 00100 00110 00000 11001 00100 00011 01110 10100 10011 00000 10011 10011 00111 00100 00111 01110 10001 01000 11001 01110 01101 01011 01110 10010 10011 01000 01101 10011 00111 01110 10100 00110 00111 10011,bacon
"The night was quiet, except for the sound of crickets","Nby hcabn qum kocyn, yrwyjn zil nby miohx iz wlcweynm",caesar
"The night was quiet, except for the sound of crickets","SIE KPYIS BDL MQPES, EAJETS GVF SIE LVQKH VG JFPJNESL",substitution
"The night was quiet, except for the sound of crickets","stekcirc fo dnuos eht rof tpecxe ,teiuq saw thgin ehT",transposition
"The night was quiet, except for the sound of crickets","DLC XMERX UKW OEMCD, IVMIND JMB XFO WMERB YJ ABMAUIRC",vigenere
"The night was quiet, except for the sound of crickets","GSV MRTSG DZH JFRVG, VCXVKG ULI GSV HLFMW LU XIRXPVGH",atbash
"The night was quiet, except for the sound of crickets","ZRC VWMRZ OIU KEWCZ, CTSCFZ HAP ZRC UAEVX AH SPWSGCZU",affine
"The night was quiet, except for the sound of crickets",VFDULHFVYBMSXGKUWUDOMVLKFKGYZCEUCELRBFROKUQZ,playfair
"The night was quiet, except for the sound of crickets","Tntsi eftsd csh ih a ue,ecp o h on fciktegwqtxtreuore",rail_fence
"The night was quiet, except for the sound of crickets",10011 00111 00100 01101 01000 00110 00111 10011 10110 00000 10010 10000 10100 01000 00100 10011 00100 10111 00010 00100 01111 10011 00101 01110 10001 10011 00111 00100 10010 01110 10100 01101 00011 01110 00101 00010 10001 01000 00010 01010 00100 10011 10010,bacon
The smell of fresh bread wafted from the bakery,Lzw kewdd gx xjwkz tjwsv osxlwv xjge lzw tscwjq,caesar
The smell of fresh bread wafted from the bakery,KXN QFNGG DA ALNQX PLNOV SOAKNV ALDF KXN POZNLB,substitution
The smell of fresh bread wafted from the bakery,yrekab eht morf detfaw daerb hserf fo llems ehT,transposition
The smell of fresh bread wafted from the bakery,DLC CQCVP MP JPOWF LVCKH UKJROH DBSK DLC LEIOVW,vigenere
The smell of fresh bread wafted from the bakery,GSV HNVOO LU UIVHS YIVZW DZUGVW UILN GSV YZPVIB,atbash
The smell of fresh bread wafted from the bakery,ZRC UQCLL AH HPCUR NPCIX OIHZCX HPAQ ZRC NIGCPY,affine
The smell of fresh bread wafted from the bakery,VFONNKIZKLMFONIADKBAYBMKDGMFKSVFWDRYKDWV,playfair
The smell of fresh bread wafted from the bakery,Tsl sr tf  eh ml ffehbedwfe rmtebkreeor aadohay,rail_fence
The smell of fresh bread wafted from the bakery,10011 00111 00100 10010 01100 00100 01011 01011 01110 00101 00101 10001 00100 10010 00111 00001 10001 00100 00000 00011 10110 00000 00101 10011 00100 00011 00101 10001 01110 01100 10011 00111 00100 00001 00000 01010 00100 10001 11000,bacon
"She took a deep breath, ready for the day ahead","Ncz ojjf v yzzk wmzvoc, mzvyt ajm ocz yvt vczvy",caesar
"She took a deep breath, ready for the day ahead","OEL VMMB X FLLY CPLXVE, PLXFS NMP VEL FXS XELXF",substitution
"She took a deep breath, ready for the day ahead","daeha yad eht rof ydaer ,htaerb peed a koot ehS",transposition
"She took a deep breath, ready for the day ahead","KLG KSHC E FVII TVGRXA, JICUC YGV VYI WSC CYITV",vigenere
"She took a deep breath, ready for the day ahead","HSV GLLP Z WVVK YIVZGS, IVZWB ULI GSV WZB ZSVZW",atbash
"She took a deep breath, ready for the day ahead","URC ZAAG I XCCF NPCIZR, PCIXY HAP ZRC XIY IRCIX",affine
"She took a deep breath, ready for the day ahead",PLKUWZYRGDYNCDYDVFDKBAKHKCVFDGHAHPYDBU,playfair
"She took a deep breath, ready for the day ahead","St ebtryreyeh okade rah ed o h a haeo pe,aftdad",rail_fence
"She took a deep breath, ready for the day ahead",10010 00111 00100 10011 01110 01110 01010 00000 00011 00100 00100 01111 00001 10001 00100 00000 10011 00111 10001 00100 00000 00011 11000 00101 01110 10001 10011 00111 00100 00011 00000 11000 00000 00111 00100 00000 00011,bacon
The leaves rustled in the autumn wind,Cqn unjenb adbcunm rw cqn jdcdvw frwm,caesar
The leaves rustled in the autumn wind,HBN KNMPNW YCWHKNG XF HBN MCHCEF UXFG,substitution
The leaves rustled in the autumn wind,dniw nmutua eht ni deltsur sevael ehT,transposition
The leaves rustled in the autumn wind,DLC VIYFIQ BYQDPCN ML DLC KYREQL GMLN,vigenere
The leaves rustled in the autumn wind,GSV OVZEVH IFHGOVW RM GSV ZFGFNM DRMW,atbash
The leaves rustled in the autumn wind,ZRC LCIJCU PEUZLCX WV ZRC IEZEQV OWVX,affine
The leaves rustled in the autumn wind,VFOGYDUYMCZNZFDGGQVFYDVUTNQEGQBU,playfair
The leaves rustled in the autumn wind,Tleuenet dh evsrsldi h uunwnea t tami,rail_fence
The leaves rustled in the autumn wind,10011 00111 00100 01011 00100 00000 10101 00100 10010 10001 10100 10010 10011 01011 00100 00011 01000 01101 10011 00111 00100 00000 10100 10011 10100 01100 01101 10110 01000 01101 00011,bacon
The campfire crackled in the distance,Uif dbnqgjsf dsbdlmfe jo uif ejtubodf,caesar
The campfire crackled in the distance,MGL TBOJVRNL TNBTDYLZ RF MGL ZRPMBFTL,substitution
The campfire crackled in the distance,ecnatsid eht ni delkcarc erifpmac ehT,transposition
The campfire crackled in the distance,DLC MEKZJGBI ABEAUPCN ML DLC NMQDELMI,vigenere
The campfire crackled in the distance,GSV XZNKURIV XIZXPOVW RM GSV WRHGZMXV,atbash
The campfire crackled in the distance,ZRC SIQFHWPC SPISGLCX WV ZRC XWUZIVSC,affine
The campfire crackled in the distance,VFODRPMHFBODDBROGOBGMUGYBGMZDPDO,playfair
The campfire crackled in the distance,Tcf cd  teh apiecake ntedsacemrrlihin,rail_fence
The campfire crackled in the distance,10011 00111 00100 00010 00000 01100 01111 00101 01000 10001 00100 00010 10001 00000 00010 01010 01011 00100 00011 01000 01101 10011 00111 00100 00011 01000 10010 10011 00000 01101 00010 00100,bacon
"He stared at the horizon, deep in thought","Mj xyfwji fy ymj mtwnets, ijju ns ymtzlmy",caesar
"He stared at the horizon, deep in thought","PG XTJLGD JT TPG PBLSOBY, DGGW SY TPBAVPT",substitution
"He stared at the horizon, deep in thought","thguoht ni peed ,noziroh eht ta derats eH",transposition
"He stared at the horizon, deep in thought","RI QDEPOH YD XFO LMBMXYR, BOIN SR RRSSQLR",vigenere
"He stared at the horizon, deep in thought","SV HGZIVW ZG GSV SLIRALM, WVVK RM GSLFTSG",atbash
"He stared at the horizon, deep in thought","RC UZIPCX IZ ZRC RAPWDAV, XCCF WV ZRAEMRZ",affine
"He stared at the horizon, deep in thought",GYMZBDDGRVVFYGKCLXESGDYNGQVFEZHIUZ,playfair
"He stared at the horizon, deep in thought","Htd  i,enotesae ttehrzn epi huh rahood tg",rail_fence
"He stared at the horizon, deep in thought",00111 00100 10010 10011 00000 10001 00100 00011 00000 10011 10011 00111 00100 00111 01110 10001 01000 11001 01110 01101 00011 00100 00100 01111 01000 01101 10011 00111 01110 10100 00110 00111 10011,bacon
The path was lit by soft moonlight,Ymj ufym bfx qny gd xtky rttsqnlmy,caesar
The path was lit by soft moonlight,DOH TKDO NKS YAD GM SZRD IZZEYAVOD,substitution
The path was lit by soft moonlight,thgilnoom tfos yb til saw htap ehT,transposition
The path was lit by soft moonlight,DLC ZERR AYC PGD FW CSDD QMYRJSKFD,vigenere
The path was lit by soft moonlight,GSV KZGS DZH ORG YB HLUG NLLMORTSG,atbash
The path was lit by soft moonlight,ZRC FIZR OIU LWZ NY UAHZ QAAVLWMRZ,affine
The path was lit by soft moonlight,VFYNRVIYCPFLXROPKLKTWZSGLHFV,playfair
The path was lit by soft moonlight,Tp   s nhh ahwsltb otmolgtetaiyfoi,rail_fence
The path was lit by soft moonlight,10011 00111 00100 01111 00000 10011 00111 10110 00000 10010 01011 01000 10011 00001 11000 10010 01110 00101 10011 01100 01110 01110 01101 01011 01000 00110 00111 10011,bacon
"She sat on the porch, watching the sunset","Bqn bjc xw cqn yxalq, fjclqrwp cqn bdwbnc",caesar
"She sat on the porch, watching the sunset","ELA ESU NP ULA DNZKL, ISUKLFPV ULA EJPEAU",substitution
"She sat on the porch, watching the sunset","tesnus eht gnihctaw ,hcrop eht no tas ehS",transposition
"She sat on the porch, watching the sunset","CLC CER YR RRI NYVAR, AYDGFSRE DLC CYLCIR",vigenere
"She sat on the porch, watching the sunset","HSV HZG LM GSV KLIXS, DZGXSRMT GSV HFMHVG",atbash
"She sat on the porch, watching the sunset","URC UIZ AV ZRC FAPSR, OIZSRWVM ZRC UEVUCZ",affine
"She sat on the porch, watching the sunset",PLONRVESVFYNKCALYBZRILUNVFONEUNOUZ,playfair
"She sat on the porch, watching the sunset","Ssoho,tnhuth a nteprh acigtesneet  cwh  s",rail_fence
"She sat on the porch, watching the sunset",10010 00111 00100 10010 00000 10011 01110 01101 10011 00111 00100 01111 01110 10001 00010 00111 10110 00000 10011 00010 00111 01000 01101 00110 10011 00111 00100 10010 10100 01101 10010 00100 10011,bacon
The ocean stretched out before them,Nby iwyuh mnlynwbyx ion vyzily nbyg,caesar
The ocean stretched out before them,ABC DJCGX ZAQCAJBCV DMA SCEDQC ABCT,substitution
The ocean stretched out before them,meht erofeb tuo dehcterts naeco ehT,transposition
The ocean stretched out before them,VVH SESDR UHUIVQKIF CXX DSISTS WLGA,vigenere
The ocean stretched out before them,GSV LXVZM HGIVGXSVW LFG YVULIV GSVN,atbash
The ocean stretched out before them,ZRC ASCIV UZPCZSRCX AEZ NCHAPC ZRCQ,affine
The ocean stretched out before them,VFYKDODPMZDKZRGYCEVUDWLKDKVFKN,playfair
The ocean stretched out before them,Tonrhobrhh ca tece u eoeteeestdtf m,rail_fence
The ocean stretched out before them,10011 00111 00100 01110 00010 00100 00000 01101 10010 10011 10001 00100 10011 00010 00111 00100 00011 01110 10100 10011 00001 00100 00101 01110 10001 00100 10011 00111 00100 01100,bacon
The old barn was a reminder of the past,Nby ifx vulh qum u lygchxyl iz nby jumn,caesar
The old barn was a reminder of the past,OTZ PIS HNFM LNY N FZRXMSZF PG OTZ BNYO,substitution
The old barn was a reminder of the past,tsap eht fo rednimer a saw nrab dlo ehT,transposition
The old barn was a reminder of the past,LLG FPW TETE ATK E TVQBFHGI SY LLG GELL,vigenere
The old barn was a reminder of the past,GSV LOW YZIM DZH Z IVNRMWVI LU GSV KZHG,atbash
The old barn was a reminder of the past,ZRC ALX NIPV OIU I PCQWVXCP AH ZRC FIUZ,affine
The old barn was a reminder of the past,VFYKGCCBDMYBPCDKQFUGKDKLVFYNCPUZ,playfair
The old barn was a reminder of the past,Tob  edohah l anwsarmne ftepsedra ir  t,rail_fence
The old barn was a reminder of the past,10011 00111 00100 01110 01011 00011 00001 00000 10001 01101 10110 00000 10010 00000 10001 00100 01100 01000 01101 00011 00100 10001 01110 00101 10011 00111 00100 01111 00000 10010 10011,bacon
She tied the scarf around her neck,Apm bqml bpm akizn izwcvl pmz vmks,caesar
She tied the scarf around her neck,CWE GTEQ GWE CAVOK VOBXNQ WEO NEAD,substitution
She tied the scarf around her neck,kcen reh dnuora fracs eht deit ehS,transposition
She tied the scarf around her neck,CLC DMCN XFO WAKVD KVMERB RIP XIAU,vigenere
She tied the scarf around her neck,HSV GRVW GSV HXZIU ZILFMW SVI MVXP,atbash
She tied the scarf around her neck,URC ZWCX ZRC USIPH IPAEVX RCP VCSG,affine
She tied the scarf around her neck,PLKUGWRUGYZLBDHRCKEUAGKDUDRO,playfair
She tied the scarf around her neck,St  rrdrch idtesafaon e ekeehc uhn,rail_fence
She tied the scarf around her neck,10010 00111 00100 10011 01000 00100 00011 10011 00111 00100 10010 00010 00000 10001 00101 00000 10001 01110 10100 01101 00011 00111 00100 10001 01101 00100 00010 01010,bacon
The warm sun kissed her skin,Znk cgxs yat qoyykj nkx yqot,caesar
The warm sun kissed her skin,RSV FMEN GUK AIGGVH SVE GAIK,substitution
The warm sun kissed her skin,niks reh dessik nus mraw ehT,transposition
The warm sun kissed her skin,VVH ACFP WWB NMUGHH JSU WMWQ,vigenere
The warm sun kissed her skin,GSV DZIN HFM PRHHVW SVI HPRM,atbash
The warm sun kissed her skin,ZRC OIPQ UEV GWUUCX RCP UGWV,affine
The warm sun kissed her skin,VFYOBDNMEUWFQZDGGYCMWFQU,playfair
The warm sun kissed her skin,Tw  shsh amsnkse e kneruidri,rail_fence
The warm sun kissed her skin,10011 00111 00100 10110 00000 10001 01100 10010 10100 01101 01010 01000 10010 10010 00100 00011 00111 00100 10001 10010 01010 01000 01101,bacon
"The road was empty, except for a lone car","Aol yvhk dhz ltwaf, lejlwa mvy h svul jhy",caesar
"The road was empty, except for a lone car","GMS QZVN DVL STFGO, SIRSFG JZQ V YZCS RVQ",substitution
"The road was empty, except for a lone car","rac enol a rof tpecxe ,ytpme saw daor ehT",transposition
"The road was empty, except for a lone car","LLG ISTV ACJ IFHXA, VBVWTV WSK S PQEI VSV",vigenere
"The road was empty, except for a lone car","GSV ILZW DZH VNKGB, VCXVKG ULI Z OLMV XZI",atbash
"The road was empty, except for a lone car","ZRC PAIX OIU CQFZY, CTSCFZ HAP I LAVC SIP",affine
"The road was empty, except for a lone car",VFKDYCBECPKNMVWYZBYNKMKCCHESODBD,playfair
"The road was empty, except for a lone car","Tr  tepo erh odwsepy xetfraln aeaam,c  oc",rail_fence
"The road was empty, except for a lone car",10011 00111 00100 10001 01110 00000 00011 10110 00000 10010 00100 01100 01111 10011 11000 00100 10111 00010 00100 01111 10011 00101 01110 10001 00000 01011 01110 01101 00100 00010 00000 10001,bacon
The rain stopped just in time for the picnic,Esp clty dezaapo ufde ty etxp qzc esp atnytn,caesar
The rain stopped just in time for the picnic,JMS QOBV YJXZZSA TWYJ BV JBHS DXQ JMS ZBRVBR,substitution
The rain stopped just in time for the picnic,cincip eht rof emit ni tsuj deppots niar ehT,transposition
The rain stopped just in time for the picnic,VVH VCWQ WVCSTGR MYUH LR VWPI HCU XJS SMEBLG,vigenere
The rain stopped just in time for the picnic,GSV IZRM HGLKKVW QFHG RM GRNV ULI GSV KRXMRX,atbash
The rain stopped just in time for the picnic,ZRC PIWV UZAFFCX BEUZ WV ZWQC HAP ZRC FWSVWS,affine
The rain stopped just in time for the picnic,VFKDBHPMZKQVDGGXMZGQXFNKLKFKGYQHDSLB,playfair
